%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1658627664533907841,16894,1658627664499701667,gps,2,0,37.2406248,126.7740764,28.783,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627664630020362,16895,1658627664599701653,gps,2,0,37.2406262,126.7740773,28.783,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627664730851980,16896,1658627664699701639,gps,2,0,37.2406275,126.7740782,28.771,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627664831918159,16897,1658627664799701624,gps,2,0,37.2406289,126.774079,28.782,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627664934986408,16898,1658627664899701610,gps,2,0,37.2406302,126.7740798,28.766,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627665074058790,16899,1658627664999701597,gps,2,0,37.2406316,126.7740807,28.76,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627665245368462,16900,1658627665199701568,gps,2,0,37.2406343,126.7740826,28.769,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
1658627665432730449,16901,1658627665399701540,gps,2,0,37.2406372,126.7740843,28.776,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000484,2
1658627665529203799,16902,1658627665499701526,gps,2,0,37.2406386,126.7740852,28.769,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.0004,2
1658627665633987860,16903,1658627665599701512,gps,2,0,37.24064,126.7740862,28.77,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000361,2
1658627665733536534,16904,1658627665699701498,gps,2,0,37.2406415,126.7740871,28.764,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627665831887126,16905,1658627665799701484,gps,2,0,37.2406429,126.7740881,28.76,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627665936740369,16906,1658627665899701470,gps,2,0,37.2406444,126.774089,28.762,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627666075868787,16907,1658627665999701456,gps,2,0,37.2406458,126.7740899,28.764,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000324,2
1658627666246199889,16908,1658627666199701427,gps,2,0,37.2406488,126.7740919,28.775,0.000196,0.0,0.0,0.0,0.000196,0.0,0.0,0.0,0.000441,2
